,heading,year,px,ebay_price,num_auctions,spread
12,Apple MacBook Air 13 Core i5 1.7 128 SSD MINT iPhone iPad,2014,700.0,870.86,7,170.86
0,Macbook air 13,2014,750.0,870.86,7,120.86000000000001
26,MacBook Air 13inch mid 2013 4gb memory 128gb hard drive mint condition,2013,720.0,823.18,140,103.17999999999995
9,MACBOOK AIR 13 MINT LATEST,2014,795.0,870.86,7,75.86000000000001
29,"Apple MacBook Air 13.3 Laptop - MD760LL/B Apr, 2014 Latest Model",2014,800.0,870.86,7,70.86000000000001
20,MacBook Air - 13.3 - Latest Version - 128GB Flash Drive - MINT,2014,820.0,870.86,7,50.860000000000014
19,Apple MacBook Air 13.3 with 128GB SSD Great Condition,2011,570.0,590.11,138,20.110000000000014
14,Macbook air 13 inch Tons of APPS,2010,500.0,491.87,58,-8.129999999999995
28,"MacBook Air 13-inch, Mid 2011 i5, 128GB, 4GB",2011,599.0,590.11,138,-8.889999999999986
16,Macbook Air 2012 F/S OBO,2012,700.0,683.4,121,-16.600000000000023
